window,stab__Other,ot__Other,stab__Mobility,ot__Mobility,stab__RadioContext,ot__RadioContext,stab__LTE,ot__LTE,stab__NR,ot__NR,stab__Throughput,ot__Throughput,stab__IRAT,ot__IRAT
81,0.9992633517828637,0.02159385648168099,0.06565233130154548,3.160261006993813,0.4044070602800367,0.7717048262112255,0.663383037662484,0.5761620962329366,0.781361027167328,0.5084265433028698,0.1689250537087728,1.7969667338824347,0.17970838937838787,1.5793744320028247
82,0.9992633517828637,0.021709352197141776,0.06727295445142853,2.8859459100609195,0.4044070602800367,0.8105938890273303,0.6708410846583988,0.5299847054879019,0.781361027167328,0.5416500678063954,0.1703271523683138,1.6450523085972386,0.1151260297676517,2.0418412520951597
83,0.9992633517828637,0.021548492546902987,0.06900334454179606,3.5501623898476735,0.4044070602800367,0.7508093421461014,0.5674602710946872,0.6121851926780311,0.781361027167328,0.5987241927352779,0.18327683619916899,1.6856601048303714,0.1151260297676517,2.2316229083787986
84,0.9992633517828637,0.021767958613291533,0.07063967569344129,2.7029113914301397,0.4044070602800367,0.7376553694153287,0.532529565553366,0.9027338743447455,0.781361027167328,0.5742629952361809,0.18724715668767736,1.6935453245273604,0.1151260297676517,2.0996317910606885
85,0.9992633517828637,0.021584514912174637,0.07183491192558877,2.700259457136979,0.4044070602800367,1.0445948211288814,0.54042537978608,0.689627756932901,0.781361027167328,0.572755196247249,0.19520144475546153,1.0685715242497968,0.1151260297676517,1.4805745547655074
86,0.9992633517828637,0.02155661380135415,0.07357890614173705,3.386805571426277,0.4044070602800367,0.8901771221667578,0.7187264607545372,0.5188130198881196,0.781361027167328,0.5500540504096583,0.17467776159236162,1.477658852873541,0.1151260297676517,2.0955870344272527
87,0.9992633517828637,0.021568067962042,0.07465495060675179,2.547300041569175,0.4044070602800367,0.7637851713163163,0.3811335933380837,0.8460978114415063,0.781361027167328,0.5056664866337182,0.15631195984815685,1.8809320934620293,0.0902438645280203,2.4677450090366793
88,0.9992633517828637,0.02171270619411254,0.0772930308832783,2.1614378954924267,0.4044070602800367,0.8385988023492046,0.27089211285323833,0.969876009957628,0.781361027167328,0.5549421716528766,0.17099646295331433,1.6446511113382227,0.0852335856163547,2.221646637029357
89,0.9992633517828637,0.021776730321192133,0.0775323348113745,2.54796378235849,0.4044070602800367,0.8904252372499619,0.6358321418006895,0.5865204395219927,0.781361027167328,0.5383472272522827,0.1659087086506763,1.5287276826105538,0.0852335856163547,2.2915418006030563
90,0.9992633517828637,0.02149169842734721,0.07841608417884949,2.3571925357017305,0.4044070602800367,0.9128203982169667,0.7968227622545072,0.3310381759903678,0.781361027167328,0.49415230037640534,0.1654154674095735,1.5056162565820803,0.0852335856163547,2.1340154317633777
91,0.9992633517828637,0.021774925365672666,0.07956871438177465,2.7646450786049863,0.4044070602800367,0.7341916713624914,0.8145122738343837,0.519384924627347,0.781361027167328,0.5887296582335169,0.18255413974104615,1.7677209895277473,0.0852335856163547,2.673704660265568
92,0.9992633517828637,0.021647061605142286,0.08077819049707094,2.663267808331557,0.4044070602800367,0.8903885553194704,0.6583873559304203,0.5657255628455872,0.781361027167328,0.6678254770838399,0.1808552488878554,1.56766833577127,0.023979837687185476,3.2002992047551464
